protocol_id,uuid,gender,party,other
prot-1920--ak--11.xml,i-6KPXiVueSMN4Qbb7x7hQx9,man,,
prot-1920--ak--13.xml,i-ViXXuHgrZCi1wBEL1J5nE8,man,,
prot-1920--ak--15.xml,i-N7uWw3krnryHfD9pxLwkYu,man,,
prot-1920--ak--15.xml,i-DjABtSNJbH9r1XWdcsMotA,man,,
prot-1920--ak--15.xml,i-K5puDFhL5H6JJGX9pTQAKU,man,,
prot-1920--ak--16.xml,i-6FCYi8hxv9gtAMWmjovh5s,man,,talmannen
prot-1920--ak--16.xml,i-B7JnC5utXWCbYK1VrGJNLS,man,,talmannen
prot-1920--ak--16.xml,i-Dp98ksAbjZXs9h464DG41z,man,,talmannen
prot-1920--ak--17.xml,i-HpvQ3wpvSQupzderF6ggTr,man,,
prot-1920--ak--17.xml,i-GE6Sc17An5fu99Z7dGGCqe,man,,
prot-1920--ak--17.xml,i-17xBkvNHCZVLNRdQ2oxKaw,man,,
prot-1920--ak--17.xml,i-NBhfGeeNkMi1TkdDwmXpj7,man,,
prot-1920--ak--17.xml,i-4iG7qjErRhPBm2Av6s74Br,man,,
prot-1920--ak--17.xml,i-36iVzos7ESXy9xWqqx2HKi,man,,
prot-1920--ak--17.xml,i-W9eB91CZS347VYjD2TsZdL,man,,
prot-1920--ak--17.xml,i-EWkpyKJQXsLRXfNxcpWyPe,man,,
prot-1920--ak--17.xml,i-NgGK7n9DndVk4VcEhR9WpV,man,,
prot-1920--ak--17.xml,i-TGWgaQmZFwxN41evFu3h89,man,,
prot-1920--ak--17.xml,i-4mJUEaaU7eJ3TbZZJc25kn,man,,
prot-1920--ak--17.xml,i-9HCGktqTayJ3V7EF5PQcba,man,,
prot-1920--ak--18.xml,i-H14VzBRTNi3NLBsbAAT3zP,man,,statsministern
prot-1920--ak--18.xml,i-FMM7rxeiK1UiYpC4fwFvvJ,man,,talmannen
prot-1920--ak--18.xml,i-JFLsBCvw2F41ov7SJU3hAP,man,,
prot-1920--ak--18.xml,i-4KyAwf8ZDrK1atHwqB9sq4,,,
prot-1920--ak--18.xml,i-AiDDoFm1JxAt3CBszSNDQA,man,,
prot-1920--ak--18.xml,i-8tHKXKuU4kti9RRniME5F4,man,,talmannen
prot-1920--ak--18.xml,i-YKkhxqX4p8uCQQGga6vbc7,man,,talmannen
prot-1920--ak--18.xml,i-No5qtgTCNQfGjn132yVbSB,,,
prot-1920--ak--19.xml,i-UqPApzUp4UWLK77XFQro8B,man,,talmannen
prot-1920--ak--19.xml,i-LA3yix13dGkrgyfuqx2Cao,man,,talmannen
prot-1920--ak--19.xml,i-ENgB1HHS3Ee9o1ZNAfkgXz,man,,
prot-1920--ak--19.xml,i-HSH9YV4AYhFp11sqszvAq5,man,,talmannen
prot-1920--ak--19.xml,i-KqmJqLJmsYhJq8EBArCWJT,man,,talmannen
prot-1920--ak--19.xml,i-MdsZx4rDr1YL91NS4VhcLy,man,,talman
prot-1920--ak--19.xml,i-DkH9WiG7D5vdgbgzcHFkwV,man,,
prot-1920--ak--2.xml,i-B4wJV74KYK3m2wtLWcCDsD,man,,
prot-1920--ak--2.xml,i-JprVdaNeuKEPGohLNpzCx4,man,,talmannen
prot-1920--ak--2.xml,i-Me13dQi7gHGZpHRjoTK66L,man,,talmannen
prot-1920--ak--20.xml,i-3cbjJa3kYQLVMxmsHYKc8a,man,,
prot-1920--ak--20.xml,i-2yH68BRXqDHS6XFfRdM3B1,man,,
prot-1920--ak--20.xml,i-SR3AMGTZMJ9Ue3brY4fBvS,man,,statsrådet
prot-1920--ak--20.xml,i-MyEiei95hY3toqtK8qaosm,man,,statsrådet
prot-1920--ak--20.xml,i-HszQjdsJPMekiWnwdb7SoZ,man,,
prot-1920--ak--20.xml,i-5HxN59HuhQMVG9XM5Pqy1p,man,,talmannen
prot-1920--ak--20.xml,i-HombqCSCQAdzjZaDjSWqNr,man,,
prot-1920--ak--20.xml,i-LXtcnEpvU3XgcPQTxxZu32,man,,
prot-1920--ak--20.xml,i-L2nj1sKPKXiXjJJ59KfVYN,man,,
prot-1920--ak--20.xml,i-3uayxvrnJp2m9UM838ZLuY,man,,
prot-1920--ak--20.xml,i-9gzeQHaZLyGoYvyKEitzBG,man,,
prot-1920--ak--20.xml,i-AUFsrjnmWWvBvFB5HSaKbu,man,,
prot-1920--ak--20.xml,i-433dDFdn63BfHyFf6xTHW7,man,,
prot-1920--ak--22.xml,i-Hn5JASF2Qy2GjcvqotZnPF,man,,
prot-1920--ak--22.xml,i-LeWiMtZJnR8LBnZEwCYnqa,man,,
prot-1920--ak--22.xml,i-4zdoGRMwCkFwvfRAU4hydV,man,,
prot-1920--ak--22.xml,i-MwuZpvCMBTLw7Ht6ak9Vrd,man,,
prot-1920--ak--22.xml,i-GEAsuYZA3LyNqXB97mLFmw,man,,
prot-1920--ak--23.xml,i-8nekfTPX3DVvVB7vyHxg8H,man,,talmannen
prot-1920--ak--23.xml,i-2SDUeiBiXn6TPvdmWkuu4U,man,,talmannen
prot-1920--ak--24.xml,i-99dazcfk5cUXhxnBd9NAYf,man,,
prot-1920--ak--24.xml,i-B9Fs89cVYiagHx6CU7khB3,man,,talmannen
prot-1920--ak--24.xml,i-Bx7UvxZPdddGwXs5sFQLN,man,,
prot-1920--ak--25.xml,i-JmSAEcfjJ8SgYeTTHTVESa,man,,talmannen
prot-1920--ak--25.xml,i-RtmB1Z47S769TNm3M4xi35,,,
prot-1920--ak--25.xml,i-WtChebmboq3ZACPFLgNcS3,man,,talmannen
prot-1920--ak--25.xml,i-TjzjTMdCbE3WZWpYvKJnhu,man,,talmannen
prot-1920--ak--25.xml,i-LqfpdkNBqoVWd73bRm2y5n,,,
prot-1920--ak--25.xml,i-PcNk4MTRUrfwYhmUgWoSg8,,,
prot-1920--ak--25.xml,i-AjVcDb3Qyk2sDDvCsinsrR,,,
prot-1920--ak--25.xml,i-FxJUx2wgntxAjnyTPazRt,man,,talmannen
prot-1920--ak--25.xml,i-JWdK9AqJD69ZVeWDTcQdjQ,man,,talmannen
prot-1920--ak--25.xml,i-GGUXV5AQBPrzpYzojey23s,man,,
prot-1920--ak--25.xml,i-HjCb5VRY1MK8rANRwyVwiB,man,,
prot-1920--ak--25.xml,i-5277Ugsy4g3tMy88VueexM,man,,
prot-1920--ak--25.xml,i-DUauL8fYBwHcY965AUo4du,man,,
prot-1920--ak--25.xml,i-NYV43UpEY386vuYp8UKoTy,man,,
prot-1920--ak--25.xml,i-5kgk8fihoB6rFfmV8XFFnk,man,,
prot-1920--ak--25.xml,i-JBgjVi4wCsvqkwFZ3PjiSk,man,,talmannen
prot-1920--ak--25.xml,i-MavJjcxdVoYuDwhTj1r56K,man,,talmannen
prot-1920--ak--25.xml,i-HUPG8ctQUbLofyLcr2oUC6,,,
prot-1920--ak--25.xml,i-6W6AWDNh5fLNHQ4aTHQjLR,,,
prot-1920--ak--25.xml,i-2T5dsNkZiay3JzmQSWwvBU,man,,
prot-1920--ak--27.xml,i-LGNwy6wGYEgeY56YAJ2iPd,,,
prot-1920--ak--27.xml,i-5NVmCrrxx88JK1BRkDBi3Z,,,
prot-1920--ak--27.xml,i-Wif2nYP21rqntkz6fc7BK7,man,,talmannen
prot-1920--ak--27.xml,i-F8CKTzAPFjCpAiqCt298jN,man,,statsrådet
prot-1920--ak--27.xml,i-RzdD626aKacRYVwZoLV4B1,man,,
prot-1920--ak--27.xml,i-EeHHbLajk6uLg7thynfxf,man,,talmannen
prot-1920--ak--27.xml,i-QLMxHk8PnjMDYyHim4sqsm,man,,
prot-1920--ak--27.xml,i-HunqvJe1uWrdVYxGsDaaen,man,,
prot-1920--ak--27.xml,i-UgmndJpKHk5XbHst8fdP75,man,,
prot-1920--ak--28.xml,i-WBHUHHntWfkLAFMBVfR5CV,man,,
prot-1920--ak--28.xml,i-3mSTu1hMDW7hDjCtSwZGeY,man,,
prot-1920--ak--28.xml,i-PkD5RoxUssRfer3aihW5fD,man,,
prot-1920--ak--28.xml,i-eNrot5ayedwKRDiYJ9xLw,,,
prot-1920--ak--28.xml,i-28Qdy7gb4PVa8rHyqWdtBq,man,,
prot-1920--ak--28.xml,i-HHs6YLSVa8xaPzpPJqy2A6,man,,
prot-1920--ak--3.xml,i-FWPaR9wACqGtrawaJXZYau,man,,talman
prot-1920--ak--3.xml,i-5b8V7Gnpt6yWRB1CvLrqbY,man,,talmannen
prot-1920--ak--30.xml,i-35VejoRMLSzmoxHZrLUjvc,man,,talmannen
prot-1920--ak--30.xml,i-4hakh1Kv13oE8au58XUnoU,man,,
prot-1920--ak--30.xml,i-QDjRtHuZbdH9BKageMVC5E,man,,
prot-1920--ak--30.xml,i-T37qDWDBd15vyyMoZ4aKqA,man,,
prot-1920--ak--30.xml,i-MbLQbXZBLrHR4haULWnPkr,man,,
prot-1920--ak--30.xml,i-WM5ZuAu5qhUAzpx3CFtwV9,man,,
prot-1920--ak--30.xml,i-5ZJqWAoQcjXKDPRphLzmYw,man,,
prot-1920--ak--30.xml,i-QR1fLXiMnHq5D8aayfF7Uy,man,,talmannen
prot-1920--ak--31.xml,i-JpsGkCfTp9hcjJbXZqp2BU,man,,
prot-1920--ak--31.xml,i-MuLgAgBMaKxPZi7xA21ip7,man,,
prot-1920--ak--31.xml,i-r3Ee8p4B7HwCAKJnCkeuS,man,,
prot-1920--ak--31.xml,i-NGjgskRLRMp5b7g1ex2DbT,man,,
prot-1920--ak--32.xml,i-D8ufCpGNTXu8S1nYNdQk5J,man,,talmannen
