protocol;date
corpus/protocols/1867/prot-1867--ak--0118.xml;1867-01-18
corpus/protocols/1867/prot-1867--ak--0119.xml;1867-01-19
corpus/protocols/1867/prot-1867--ak--0119.xml;1867-01-21
corpus/protocols/1867/prot-1867--ak--0121.xml;1867-01-21
corpus/protocols/1867/prot-1867--ak--0122.xml;1867-01-22
corpus/protocols/1867/prot-1867--ak--0123.xml;1867-01-23
corpus/protocols/1867/prot-1867--ak--0124.xml;1867-01-24
corpus/protocols/1867/prot-1867--ak--0125.xml;1867-01-25
corpus/protocols/1867/prot-1867--ak--0126.xml;1867-01-26
corpus/protocols/1867/prot-1867--ak--0128.xml;1867-01-28
corpus/protocols/1867/prot-1867--ak--0128.xml;1867-01-29
corpus/protocols/1867/prot-1867--ak--0129.xml;1867-01-29
corpus/protocols/1867/prot-1867--ak--0130.xml;1867-01-30
corpus/protocols/1867/prot-1867--ak--0131.xml;1867-01-31
corpus/protocols/1867/prot-1867--ak--0202.xml;1867-02-02
corpus/protocols/1867/prot-1867--ak--0202.xml;1867-02-04
corpus/protocols/1867/prot-1867--ak--0204.xml;1867-02-04
corpus/protocols/1867/prot-1867--ak--0204.xml;1867-02-06
corpus/protocols/1867/prot-1867--ak--0206.xml;1867-02-06
corpus/protocols/1867/prot-1867--ak--0209.xml;1867-02-09
corpus/protocols/1867/prot-1867--ak--0213.xml;1867-02-13
corpus/protocols/1867/prot-1867--ak--0216.xml;1867-02-16
corpus/protocols/1867/prot-1867--ak--0220.xml;1867-02-20
corpus/protocols/1867/prot-1867--ak--0223.xml;1867-02-23
corpus/protocols/1867/prot-1867--ak--0227.xml;1867-02-27
corpus/protocols/1867/prot-1867--ak--0227.xml;1867-02-28
corpus/protocols/1867/prot-1867--ak--0228.xml;1867-02-28
corpus/protocols/1867/prot-1867--ak--0302.xml;1867-03-02
corpus/protocols/1867/prot-1867--ak--0304.xml;1867-03-04
corpus/protocols/1867/prot-1867--ak--0306.xml;1867-03-06
corpus/protocols/1867/prot-1867--ak--0307.xml;1867-03-07
corpus/protocols/1867/prot-1867--ak--0307.xml;1867-03-09
corpus/protocols/1867/prot-1867--ak--0309.xml;1867-03-09
corpus/protocols/1867/prot-1867--ak--0311.xml;1867-03-11
corpus/protocols/1867/prot-1867--ak--0311.xml;1867-03-13
corpus/protocols/1867/prot-1867--ak--0313.xml;1867-03-13
corpus/protocols/1867/prot-1867--ak--0314.xml;1867-03-14
corpus/protocols/1867/prot-1867--ak--0316.xml;1867-03-16
corpus/protocols/1867/prot-1867--ak--0316.xml;1867-03-18
corpus/protocols/1867/prot-1867--ak--0318.xml;1867-03-18
corpus/protocols/1867/prot-1867--ak--0318.xml;1867-03-19
corpus/protocols/1867/prot-1867--ak--0319.xml;1867-03-19
corpus/protocols/1867/prot-1867--ak--0319.xml;1867-03-20
corpus/protocols/1867/prot-1867--ak--0320.xml;1867-03-20
corpus/protocols/1867/prot-1867--ak--0322.xml;1867-03-22
corpus/protocols/1867/prot-1867--ak--0322.xml;1867-03-26
corpus/protocols/1867/prot-1867--ak--0326.xml;1867-03-26
corpus/protocols/1867/prot-1867--ak--0327.xml;1867-03-27
corpus/protocols/1867/prot-1867--ak--0328.xml;1867-03-28
corpus/protocols/1867/prot-1867--ak--0329.xml;1867-03-29
corpus/protocols/1867/prot-1867--ak--0330.xml;1867-03-30
corpus/protocols/1867/prot-1867--ak--0401.xml;1867-03-30
corpus/protocols/1867/prot-1867--ak--0401.xml;1867-04-02
corpus/protocols/1867/prot-1867--ak--0402.xml;1867-04-02
corpus/protocols/1867/prot-1867--ak--0404.xml;1867-04-04
