Unnamed: 0;wiki_id;surname_iort;first_name;page_ref;page_ref2;iort;born
1747;Q5892646);Josefsson i Halmstad; H Gösta A; 2:387;;i Halmstad;
2120;Q111916168;Lindskog i Billinge; C J Fritiof; 3:235;;i Billinge;
2498;Q98393527;Nordenskjöld i Sjögelö; O Gustaf; 2:172;;i Sjögelö;
2769;Q117039333;Persson i Vinberg; Ragnar V; 2:398;;i Vinberg;
2917;Q114729447;Risberg i Kållered; Bo H; 4:140;;i Kållered;
3856;Q98555891;Andersson i Visböle; Ingrid S M; 1:369;;i Visböle;
3869;Q97065045;Andersson i Halmstad; Rolf B; 2:49;;i Halmstad;
3873;Q98667808;Andersson i Täby; Stina S; 1:136;;i Täby;
3900;Q96982660;Bengtsson i Göteborg; K-E Bengt; 2:80;;i Göteborg;
3904;Q110089098;Bengtsson i Hamneda; K Lennart A; 1:345;;i Hamneda;
3914;Q97154361;Bergman i Nyköping; K Holger; 1:247;;i Nyköping;
3941;Q97064907;Björzén i Västerås; Karl K; 2:301;;i Västerås;
3942;Q97030645;Bladh i Hässleholm; Lennart W; 1:428;;i Hässleholm;
3945;Q97097221;Blucher i Karlstad; Raul; 2:238;;i Karlstad;
4015;Q97013076;Ekelund i Ängelholm; Ulla G; 1:429;;i Ängelholm;
4018;Q98668821;Ekholm-Frank i Vintrie; Ingalill; 1:462;;i Vintrie;
4025;Q98281504;Eliasson i Edsele; Björn E A; 2:393;;i Edsele;
4035;Q96775388;Engström i Nacka; Bror E A; 1:148;;i Nacka;
4076;Q97065553;Flodström i Kopparberg; Karin A-M; 2:274;;i Kopparberg;
4082;Q96982125;Fransson i Landsbro; Arne A E; 1:320;;i Landsbro;
4092;Q97013163;Fredrikson i Svanesund; Märta E B; 2:132;;i Svanesund;
4100;Q98556674;Frändås i Årås; S G Berit; 2:189;;i Årås;
4127;Q97065645;Grönhagen i Kramfors; Nils-Olof; 2:396;;i Kramfors;
4130;Q96982951;Gustafsson i Säffle; K G Allan; 2: 243;;i Säffle;
4131;Q98538756;Gustafsson i Brunsbo; Anne-Marie; 2:211;;i Brunsbo;
4133;Q97039437;Gustafsson i Göteborg; E Gösta; 2:90;;i Göteborg;
4159;Q97013187;Hallenius i Saleby; G Ingemar; 2:212;;i Saleby;
4160;Q96980120;Hallgren i Göteborg; Karl A E; 2:92;;i Göteborg;
4183;Q98668809;Hedvall i Tullinge; Yvonne M; 1:156;;i Tullinge;
4192;Q97097226;Henricsson i Hoting; Sven R; 2:398;;i Hoting;
4196;Q96981405;Hermansson i Malmberget; K Ivar; 2:477;;i Malmberget;
4200;Q98539326;Hjalmarsson i Säter; Birgit; 2:339;;i Säter;
4222;Q96982420;Håkansson i Rönneberga; Alfred L; 1:466;;i Rönneberga;
4238;Q97029523;Ingvar-Svensson i Svalöv; Inger M; 1:503;;i Svalöv;
4244;Q97065459;Jacobsson i Åkarp; Egon O; 1:504;;i Åkarp;
4257;Q97013026;Johansson i Hållsta; J Erik; 1:159;;i Hållsta;
4259;Q96983325;Johansson i Holmgården; N Filip; 2:480;;i Holmgården;
4260;Q97012521;Johansson i Vrångebäck; Gunnar A; 2:135;;i Vrångebäck;
4277;Q97030883;Johansson i Uddevalla; Tyra A S; 2:136;;i Uddevalla;
4280;Q97045791;Johnsson i Holm, senare Kvibille; Ella I; 2:58;;i Holm, senare Kvibille;
4283;Q97046134;Johnsson i Mölndal; Rune S G; 2:136;;i Mölndal;
4291;Q98556529;Jordan i Rönninge; Kerstin R; 1:161;;i Rönninge;
4294;Q97251912;Josefsson i Stavared; Inger A-L; 2:191;;i Stavared;
4302;Q97013194;Karlehagen i Örebro; Sigvard H; 2:278;;i Örebro;
4305;Q96775449;Karlsson i Mariefred; K Gösta; 1:254;;i Mariefred;
4331;Q96775409;Korpås i Uppsala; B G Sture; 1:223;;i Uppsala;
4342;Q97065131;Lagergren i Linköping; A Maria; 1:287;;i Linköping;
4357;Q97039443;Larsson i Vänersborg; Lars-Åke G; 2:171;;i Vänersborg;
4372;Q96984479;Leuchovius i Värsås, senare Skövde; Karl G W; 2:217;;i Värsås, senare Skövde;
4399;Q98538739;Ljungberg i Ingmarsö; Lars S; 1:167;;i Ingmarsö;
4411;Q98538782;Lundgren i Rosersberg; A Carl-Eric; 1:167;;i Rosersberg;
4426;Q96980907;Magnusson i Kristinehamn; John A; 2:251;;i Kristinehamn;
4433;Q97065567;Mathsson i Fagersta; Karl-Gustaf; 2:311;;i Fagersta;
4463;Q98556497;Nilson i Sveg; Eivor B; 2:428;;i Sveg;
4467;Q97258376;Nilsson i Örnsköldsvik; Barbro; 2:404;;i Örnsköldsvik;
4475;Q96983918;Nilsson i Sunne; Elvy 1;2:252;;i Sunne;
4484;Q97030392;Nilsson i Visby; Per-Axel E; 1:394;;i Visby;
4494;Q97029691;Nordin i Skorped, senare Sollefteå; Sven-Eric; 2:404;;i Skorped, senare Sollefteå;
4513;Q97050936;Odelsparr i Alnö; Margit E; 2:405;;i Alnö;
4515;Q97065480;Ohlin i Kvibille; T Maja; 2:62;;i Kvibille;
4519;Q96982284;Olsson i Helsingborg; Alma L; 1:475;;i Helsingborg;
4522;Q97263333;Olsson i Sollefteå; K Erik; 2:406;;i Sollefteå;
4523;Q97061982;Olsson i Edane; M Gunnar; 2:254;;i Edane;
4529;Q96983715;Olsson i Asarum; Mats GG; 1:410;;i Asarum;
4535;Q110129747;Oskarsson i Ankarsrum; O Gunnar; 1:377;;i Ankarsrum;
4558;Q97156005;Persson i Landskrona; P O Sigvard; 1:476;;i Landskrona;
4564;Q96983571;Peterson i Karlskrona; Göte R; 1:411;;i Karlskrona;
4582;Q97012473;Pettersson i Västerås; Rune V; 2:314;;i Västerås;
4590;Q97097168;Prytz i Göteborg; Jan L; 2:109;;i Göteborg;
4594;Q97013183;Raneskog i Alingsås; O Gunde; 2:173;;i Alingsås;
4606;Q97248827;Riegnell i Askim; Göran A; 2:110;;i Askim;
4620;Q98528070;Runesson i Finspång; Börje W; 1:297;;i Finspång;
4637;Q98556473;Sandberg i Nyköping; F Torsten; 1:103;;i Nyköping;
4676;Q96983283;Stjernström i Sikås; Per Z; 2:429;;i Sikås;
4682;Q98556536;Ström i Stockholm; Turid; 1:106;;i Stockholm;
4685;Q97461195;Strömbäck-Norrman i Malmberget; Åsa A; 2:489;;i Malmberget;
4744;Q96982611;Torwald i Olofstorp; G A Rune; 2:115;;i Olofstorp;
4766;Q106602523;Wennerholm i Stockholm; H Axel C; 1:114;;i Stockholm;
4785;Q97013061;Wigenfeldt i Ramsta; Britt S E; 1:232;;i Ramsta;
4791;Q97028791;Wiklund i Bygdsiljum; Svea S S; 2:460;;i Bygdsiljum;
4801;Q97155940;Virgin i Hakunge; Jan-Eric C; 1:199;;i Hakunge;
4820;Q96775434;Åkerfeldt i Nyvla; Sven Eric; 1:233;;i Nyvla;
4828;Q106349346;Öhrström i Tumba; Annika E; 1:201;;i Tumba;
4831;Q98668782;Örjes i Handen; J Rolf L; 1:202;;i Handen;
